predictor,raw_training_level,n_training,kept_in_model,model_level,reference_level
age_group_model,UNKNOWN_MODEL,76,TRUE,UNKNOWN_MODEL,UNKNOWN_MODEL
age_group_model,25_34,74,TRUE,25_34,UNKNOWN_MODEL
age_group_model,35_44,60,TRUE,35_44,UNKNOWN_MODEL
age_group_model,45_54,50,TRUE,45_54,UNKNOWN_MODEL
age_group_model,55_64,50,TRUE,55_64,UNKNOWN_MODEL
age_group_model,18_24,32,TRUE,18_24,UNKNOWN_MODEL
age_group_model,65_PLUS,32,TRUE,65_PLUS,UNKNOWN_MODEL
gender_model,MALE,204,TRUE,MALE,MALE
gender_model,FEMALE,159,TRUE,FEMALE,MALE
gender_model,UNKNOWN_MODEL,6,FALSE,OTHER_MODEL,MALE
gender_model,OTHER,5,FALSE,OTHER_MODEL,MALE
country_model_grouped,ES,184,TRUE,ES,ES
country_model_grouped,GB,54,TRUE,GB,ES
country_model_grouped,PL,21,TRUE,PL,ES
country_model_grouped,IT,20,TRUE,IT,ES
country_model_grouped,FR,17,TRUE,FR,ES
country_model_grouped,DE,15,TRUE,DE,ES
country_model_grouped,NL,12,TRUE,NL,ES
country_model_grouped,GR,8,TRUE,GR,ES
country_model_grouped,OTHER_COUNTRIES,6,FALSE,OTHER_MODEL,ES
country_model_grouped,PT,6,FALSE,OTHER_MODEL,ES
country_model_grouped,BE,4,FALSE,OTHER_MODEL,ES
country_model_grouped,CZ,4,FALSE,OTHER_MODEL,ES
country_model_grouped,HU,4,FALSE,OTHER_MODEL,ES
country_model_grouped,IE,4,FALSE,OTHER_MODEL,ES
country_model_grouped,UNKNOWN_MODEL,4,FALSE,OTHER_MODEL,ES
country_model_grouped,RO,3,FALSE,OTHER_MODEL,ES
country_model_grouped,LV,2,FALSE,OTHER_MODEL,ES
country_model_grouped,SE,2,FALSE,OTHER_MODEL,ES
country_model_grouped,SI,2,FALSE,OTHER_MODEL,ES
country_model_grouped,AT,1,FALSE,OTHER_MODEL,ES
country_model_grouped,FI,1,FALSE,OTHER_MODEL,ES
employment_model,EMPLOYED,175,TRUE,EMPLOYED,EMPLOYED
employment_model,UNKNOWN_MODEL,125,TRUE,UNKNOWN_MODEL,EMPLOYED
employment_model,RETIRED,45,TRUE,RETIRED,EMPLOYED
employment_model,STUDENT,15,TRUE,STUDENT,EMPLOYED
employment_model,UNEMPLOYED,12,TRUE,UNEMPLOYED,EMPLOYED
employment_model,OTHER,2,FALSE,OTHER_MODEL,EMPLOYED
