"cluster","expert","vol_cluster","vol_expert","vol_common","pct_cluster_covered","pct_expert_covered","jaccard"
"cluster_1","Early.Adopter",5,4,2,40,50,28.5714285714286
"cluster_1","Uninterested",5,5,3,60,60,42.8571428571429
"cluster_1","Homo.Economicus",5,4,4,80,100,80
"cluster_1","Fearful",5,4,4,80,100,80
"cluster_1","Stubborn",5,2,2,40,100,40
"cluster_1","Influencer",5,4,1,20,25,12.5
"cluster_1","Careful",5,5,5,100,100,100
"cluster_1","Activist",5,3,3,60,100,60
"cluster_2","Early.Adopter",9,4,4,44.4444444444444,100,44.4444444444444
"cluster_2","Uninterested",9,5,5,55.5555555555556,100,55.5555555555556
"cluster_2","Homo.Economicus",9,4,4,44.4444444444444,100,44.4444444444444
"cluster_2","Fearful",9,4,4,44.4444444444444,100,44.4444444444444
"cluster_2","Stubborn",9,2,2,22.2222222222222,100,22.2222222222222
"cluster_2","Influencer",9,4,4,44.4444444444444,100,44.4444444444444
"cluster_2","Careful",9,5,5,55.5555555555556,100,55.5555555555556
"cluster_2","Activist",9,3,3,33.3333333333333,100,33.3333333333333
"cluster_3","Early.Adopter",2,4,2,100,50,50
"cluster_3","Uninterested",2,5,1,50,20,16.6666666666667
"cluster_3","Homo.Economicus",2,4,2,100,50,50
"cluster_3","Fearful",2,4,1,50,25,20
"cluster_3","Stubborn",2,2,2,100,100,100
"cluster_3","Influencer",2,4,1,50,25,20
"cluster_3","Careful",2,5,2,100,40,40
"cluster_3","Activist",2,3,2,100,66.6666666666667,66.6666666666667
