"scenario","type","reference","K","D","n_clusters","n_matched","pct_matched","mean_jaccard_exclusive"
"10-32","ext","experts",1,0,1,1,100,0
"10-32","ext","experts",1,2,1,1,100,0
"10-32","ext","experts",1,4,1,1,100,0
"10-32","ext","experts",1,6,1,1,100,0
"10-32","ext","experts",1,8,1,1,100,0
"10-32","ext","experts",1,10,1,1,100,0
"10-32","ext","experts",2,0,2,2,100,12.5
"10-32","ext","experts",2,2,2,2,100,12.5
"10-32","ext","experts",2,4,2,2,100,12.5
"10-32","ext","experts",2,6,2,2,100,16.6666666666667
"10-32","ext","experts",2,8,2,2,100,30
"10-32","ext","experts",2,10,2,2,100,30
"10-32","ext","experts",3,0,3,3,100,14.4444444444444
"10-32","ext","experts",3,2,3,3,100,25
"10-32","ext","experts",3,4,3,3,100,28.3333333333333
"10-32","ext","experts",3,6,3,3,100,31.1111111111111
"10-32","ext","experts",3,8,3,3,100,26.6666666666667
"10-32","ext","experts",3,10,3,3,100,28.7719298245614
"10-32","ext","experts",4,0,4,4,100,17.0833333333333
"10-32","ext","experts",4,2,4,4,100,33.75
"10-32","ext","experts",4,4,4,4,100,31.25
"10-32","ext","experts",4,6,4,4,100,33.3333333333333
"10-32","ext","experts",4,8,4,4,100,28.0392156862745
"10-32","ext","experts",4,10,4,4,100,29.9122807017544
"10-32","ext","experts",5,0,5,5,100,23.1111111111111
"10-32","ext","experts",5,2,5,5,100,32.8888888888889
"10-32","ext","experts",5,4,5,5,100,35.4313725490196
"10-32","ext","experts",5,6,5,5,100,35.3333333333333
"10-32","ext","experts",5,8,5,5,100,32
"10-32","ext","experts",5,10,5,5,100,32.3508771929825
"10-32","ext","experts",6,0,6,6,100,22.9840067340067
"10-32","ext","experts",6,2,6,6,100,34.0740740740741
"10-32","ext","experts",6,4,6,6,100,34.7549019607843
"10-32","ext","experts",6,6,6,6,100,31.8253968253968
"10-32","ext","experts",6,8,6,6,100,32.5135975135975
"10-32","ext","experts",6,10,6,6,100,31.5849673202614
"10-32","ext","experts",7,0,7,7,100,28.2720057720058
"10-32","ext","experts",7,2,7,7,100,35.2287581699346
"10-32","ext","experts",7,4,7,7,100,33.0866192630899
"10-32","ext","experts",7,6,7,7,100,32.3718578340427
"10-32","ext","experts",7,8,7,7,100,32.1545121545122
"10-32","ext","experts",7,10,7,7,100,31.7366946778711
"10-32","ext","experts",8,0,8,8,100,24.7380050505051
"10-32","ext","experts",8,2,8,8,100,35.9967320261438
"10-32","ext","experts",8,4,8,8,100,31.4507918552036
"10-32","ext","experts",8,6,8,8,100,31.7479946524064
"10-32","ext","experts",8,8,8,8,100,32.0567667626491
"10-32","ext","experts",8,10,8,8,100,31.6758578431373
"10-32","pos","experts",1,0,1,1,100,68.75
"10-32","pos","experts",1,2,1,1,100,68.75
"10-32","pos","experts",1,4,1,1,100,68.75
"10-32","pos","experts",1,6,1,1,100,68.75
"10-32","pos","experts",1,8,1,1,100,68.75
"10-32","pos","experts",1,10,1,1,100,68.75
"10-32","pos","experts",2,0,2,2,100,59.4117647058823
"10-32","pos","experts",2,2,2,2,100,59.4117647058823
"10-32","pos","experts",2,4,2,2,100,59.4117647058823
"10-32","pos","experts",2,6,2,2,100,59.375
"10-32","pos","experts",2,8,2,2,100,56.4705882352941
"10-32","pos","experts",2,10,2,2,100,54.9632352941177
"10-32","pos","experts",3,0,3,3,100,53.3333333333333
"10-32","pos","experts",3,2,3,3,100,53.3333333333333
"10-32","pos","experts",3,4,3,3,100,53.3333333333333
"10-32","pos","experts",3,6,3,3,100,53.3333333333333
"10-32","pos","experts",3,8,3,3,100,50.9278711484594
"10-32","pos","experts",3,10,3,3,100,42.7777777777778
"10-32","pos","experts",4,0,4,4,100,52.4816176470588
"10-32","pos","experts",4,2,4,4,100,50
"10-32","pos","experts",4,4,4,4,100,50
"10-32","pos","experts",4,6,4,4,100,48.0208333333333
"10-32","pos","experts",4,8,4,4,100,46.5292366946779
"10-32","pos","experts",4,10,4,4,100,39.8958333333333
"10-32","pos","experts",5,0,5,5,100,45.9852941176471
"10-32","pos","experts",5,2,5,5,100,44.7058823529412
"10-32","pos","experts",5,4,5,5,100,44.7058823529412
"10-32","pos","experts",5,6,5,5,100,45.7967914438503
"10-32","pos","experts",5,8,5,5,100,41.9292717086835
"10-32","pos","experts",5,10,5,5,100,35.25
"10-32","pos","experts",6,0,6,6,100,41.0988562091503
"10-32","pos","experts",6,2,6,6,100,40.5882352941176
"10-32","pos","experts",6,4,6,6,100,42.2549019607843
"10-32","pos","experts",6,6,6,6,100,42.0855614973262
"10-32","pos","experts",6,8,6,6,100,37.8822362278245
"10-32","pos","experts",6,10,6,6,100,34.8039215686275
"10-32","pos","experts",7,0,7,7,100,37.6085434173669
"10-32","pos","experts",7,2,7,7,100,37.1708683473389
"10-32","pos","experts",7,4,7,7,100,40.0175070028011
"10-32","pos","experts",7,6,7,7,100,39.5693277310924
"10-32","pos","experts",7,8,7,7,100,34.8514405762305
"10-32","pos","experts",7,10,7,7,100,34.453781512605
"10-32","pos","experts",8,0,8,8,100,33.5653702270382
"10-32","pos","experts",8,2,8,8,100,34.0919701213819
"10-32","pos","experts",8,4,8,8,100,37.3692810457516
"10-32","pos","experts",8,6,8,8,100,36.0120506535948
"10-32","pos","experts",8,8,8,8,100,31.2303046218487
"10-32","pos","experts",8,10,8,8,100,31.4628482972136
"100-32","ext","experts",1,0,1,1,100,0
"100-32","ext","experts",1,2,1,1,100,0
"100-32","ext","experts",1,4,1,1,100,0
"100-32","ext","experts",1,6,1,1,100,0
"100-32","ext","experts",1,8,1,1,100,0
"100-32","ext","experts",1,10,1,1,100,0
"100-32","ext","experts",2,0,2,2,100,12.5
"100-32","ext","experts",2,2,2,2,100,12.5
"100-32","ext","experts",2,4,2,2,100,12.5
"100-32","ext","experts",2,6,2,2,100,16.6666666666667
"100-32","ext","experts",2,8,2,2,100,30
"100-32","ext","experts",2,10,2,2,100,30
"100-32","ext","experts",3,0,3,3,100,14.4444444444444
"100-32","ext","experts",3,2,3,3,100,25
"100-32","ext","experts",3,4,3,3,100,28.3333333333333
"100-32","ext","experts",3,6,3,3,100,31.1111111111111
"100-32","ext","experts",3,8,3,3,100,31.1111111111111
"100-32","ext","experts",3,10,3,3,100,28.7719298245614
"100-32","ext","experts",4,0,4,4,100,23.3333333333333
"100-32","ext","experts",4,2,4,4,100,33.75
"100-32","ext","experts",4,4,4,4,100,33.75
"100-32","ext","experts",4,6,4,4,100,33.3333333333333
"100-32","ext","experts",4,8,4,4,100,28.0392156862745
"100-32","ext","experts",4,10,4,4,100,29.9122807017544
"100-32","ext","experts",5,0,5,5,100,23.1111111111111
"100-32","ext","experts",5,2,5,5,100,32.8888888888889
"100-32","ext","experts",5,4,5,5,100,33.6666666666667
"100-32","ext","experts",5,6,5,5,100,35.3333333333333
"100-32","ext","experts",5,8,5,5,100,32
"100-32","ext","experts",5,10,5,5,100,32.3508771929825
"100-32","ext","experts",6,0,6,6,100,22.9840067340067
"100-32","ext","experts",6,2,6,6,100,29.4907407407407
"100-32","ext","experts",6,4,6,6,100,33.4477124183007
"100-32","ext","experts",6,6,6,6,100,31.8253968253968
"100-32","ext","experts",6,8,6,6,100,32.5135975135975
"100-32","ext","experts",6,10,6,6,100,32.7691778465772
"100-32","ext","experts",7,0,7,7,100,28.2720057720058
"100-32","ext","experts",7,2,7,7,100,32.4206349206349
"100-32","ext","experts",7,4,7,7,100,32.03081232493
"100-32","ext","experts",7,6,7,7,100,32.3718578340427
"100-32","ext","experts",7,8,7,7,100,30.9300223585938
"100-32","ext","experts",7,10,7,7,100,31.4492112634527
"100-32","ext","experts",8,0,8,8,100,24.7380050505051
"100-32","ext","experts",8,2,8,8,100,32.5347222222222
"100-32","ext","experts",8,4,8,8,100,30.4703996983409
"100-32","ext","experts",8,6,8,8,100,30.8253756047874
"100-32","ext","experts",8,8,8,8,100,30.9853381912205
"100-32","ext","experts",8,10,8,8,100,29.7239422084623
"100-32","pos","experts",1,0,1,1,100,68.75
"100-32","pos","experts",1,2,1,1,100,68.75
"100-32","pos","experts",1,4,1,1,100,68.75
"100-32","pos","experts",1,6,1,1,100,68.75
"100-32","pos","experts",1,8,1,1,100,68.75
"100-32","pos","experts",1,10,1,1,100,68.75
"100-32","pos","experts",2,0,2,2,100,59.4117647058823
"100-32","pos","experts",2,2,2,2,100,59.4117647058823
"100-32","pos","experts",2,4,2,2,100,59.4117647058823
"100-32","pos","experts",2,6,2,2,100,59.375
"100-32","pos","experts",2,8,2,2,100,55
"100-32","pos","experts",2,10,2,2,100,54.9632352941177
"100-32","pos","experts",3,0,3,3,100,53.3333333333333
"100-32","pos","experts",3,2,3,3,100,53.3333333333333
"100-32","pos","experts",3,4,3,3,100,53.3333333333333
"100-32","pos","experts",3,6,3,3,100,53.3333333333333
"100-32","pos","experts",3,8,3,3,100,49.9754901960784
"100-32","pos","experts",3,10,3,3,100,42.7777777777778
"100-32","pos","experts",4,0,4,4,100,52.4816176470588
"100-32","pos","experts",4,2,4,4,100,50
"100-32","pos","experts",4,4,4,4,100,50
"100-32","pos","experts",4,6,4,4,100,48.0208333333333
"100-32","pos","experts",4,8,4,4,100,45.8149509803922
"100-32","pos","experts",4,10,4,4,100,39.8958333333333
"100-32","pos","experts",5,0,5,5,100,45.9852941176471
"100-32","pos","experts",5,2,5,5,100,44.7058823529412
"100-32","pos","experts",5,4,5,5,100,45.2773109243698
"100-32","pos","experts",5,6,5,5,100,45.7967914438503
"100-32","pos","experts",5,8,5,5,100,40.1813725490196
"100-32","pos","experts",5,10,5,5,100,38.4313725490196
"100-32","pos","experts",6,0,6,6,100,41.0988562091503
"100-32","pos","experts",6,2,6,6,100,40.5882352941176
"100-32","pos","experts",6,4,6,6,100,41.0644257703081
"100-32","pos","experts",6,6,6,6,100,42.0855614973262
"100-32","pos","experts",6,8,6,6,100,36.2622549019608
"100-32","pos","experts",6,10,6,6,100,38.1127450980392
"100-32","pos","experts",7,0,7,7,100,37.6085434173669
"100-32","pos","experts",7,2,7,7,100,37.1708683473389
"100-32","pos","experts",7,4,7,7,100,38.6819727891156
"100-32","pos","experts",7,6,7,7,100,39.5693277310924
"100-32","pos","experts",7,8,7,7,100,34.4432773109244
"100-32","pos","experts",7,10,7,7,100,36.0294117647059
"100-32","pos","experts",8,0,8,8,100,34.6683114035088
"100-32","pos","experts",8,2,8,8,100,34.0919701213819
"100-32","pos","experts",8,4,8,8,100,36.09345821662
"100-32","pos","experts",8,6,8,8,100,36.8290441176471
"100-32","pos","experts",8,8,8,8,100,34.2616421568627
"100-32","pos","experts",8,10,8,8,100,32.3206914344685
