left_id,right_id,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
EFA1,Activist,8,6,0,0,0,0,
EFA1,Careful,8,12,0,0,0,0,
EFA1,Early.Adopter,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_29_trends
EFA1,Fearful,8,9,0,0,0,0,
EFA1,Homo.Economicus,8,9,0,0,0,0,
EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
EFA1,Stubborn,8,3,0,0,0,0,
EFA1,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_22_peer_pressure; det_30_authority
EFA2,Activist,8,6,0,0,0,0,
EFA2,Careful,8,12,3,37.5,25,17.647058823529413,det_02_credit_score; det_10_cost_efficiency; det_19_wellbeing
EFA2,Early.Adopter,8,6,0,0,0,0,
EFA2,Fearful,8,9,3,37.5,33.333333333333336,21.428571428571427,det_02_credit_score; det_10_cost_efficiency; det_19_wellbeing
EFA2,Homo.Economicus,8,9,2,25,22.22222222222222,13.333333333333334,det_01_profits; det_10_cost_efficiency
EFA2,Influencer,8,5,1,12.5,20,8.333333333333334,det_28_recognition
EFA2,Stubborn,8,3,0,0,0,0,
EFA2,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness
EFA3,Activist,9,6,1,11.11111111111111,16.666666666666668,7.142857142857143,det_08_trust
EFA3,Careful,9,12,4,44.44444444444444,33.333333333333336,23.529411764705884,det_08_trust; det_09_safety; det_10_cost_efficiency; det_19_wellbeing
EFA3,Early.Adopter,9,6,0,0,0,0,
EFA3,Fearful,9,9,4,44.44444444444444,44.44444444444444,28.571428571428573,det_08_trust; det_09_safety; det_10_cost_efficiency; det_19_wellbeing
EFA3,Homo.Economicus,9,9,3,33.333333333333336,33.333333333333336,20,det_08_trust; det_09_safety; det_10_cost_efficiency
EFA3,Influencer,9,5,1,11.11111111111111,20,7.6923076923076925,det_22_peer_pressure
EFA3,Stubborn,9,3,0,0,0,0,
EFA3,Uninterested,9,6,3,33.333333333333336,50,25,det_19_wellbeing; det_20_coziness; det_22_peer_pressure
EFA4,Activist,10,6,1,10,16.666666666666668,6.666666666666667,det_14_environmental_concerns
EFA4,Careful,10,12,2,20,16.666666666666668,10,det_14_environmental_concerns; det_19_wellbeing
EFA4,Early.Adopter,10,6,2,20,33.333333333333336,14.285714285714286,det_14_environmental_concerns; det_29_trends
EFA4,Fearful,10,9,2,20,22.22222222222222,11.764705882352942,det_07_legal; det_19_wellbeing
EFA4,Homo.Economicus,10,9,2,20,22.22222222222222,11.764705882352942,det_04_added_value; det_07_legal
EFA4,Influencer,10,5,1,10,20,7.142857142857143,det_22_peer_pressure
EFA4,Stubborn,10,3,0,0,0,0,
EFA4,Uninterested,10,6,3,30,50,23.076923076923077,det_07_legal; det_19_wellbeing; det_22_peer_pressure
EFA5,Activist,8,6,5,62.5,83.33333333333333,55.55555555555556,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment
EFA5,Careful,8,12,4,50,33.333333333333336,25,det_08_trust; det_11_knowledge; det_14_environmental_concerns; det_16_commitment
EFA5,Early.Adopter,8,6,3,37.5,50,27.272727272727273,det_11_knowledge; det_14_environmental_concerns; det_15_self_satisfaction
EFA5,Fearful,8,9,3,37.5,33.333333333333336,21.428571428571427,det_08_trust; det_11_knowledge; det_13_technical_fit
EFA5,Homo.Economicus,8,9,5,62.5,55.55555555555556,41.666666666666664,det_04_added_value; det_08_trust; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
EFA5,Influencer,8,5,1,12.5,20,8.333333333333334,det_11_knowledge
EFA5,Stubborn,8,3,2,25,66.66666666666667,22.22222222222222,det_11_knowledge; det_15_self_satisfaction
EFA5,Uninterested,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_13_technical_fit
EFA6,Activist,8,6,0,0,0,0,
EFA6,Careful,8,12,3,37.5,25,17.647058823529413,det_09_safety; det_10_cost_efficiency; det_19_wellbeing
EFA6,Early.Adopter,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_26_novelty
EFA6,Fearful,8,9,3,37.5,33.333333333333336,21.428571428571427,det_09_safety; det_10_cost_efficiency; det_19_wellbeing
EFA6,Homo.Economicus,8,9,3,37.5,33.333333333333336,21.428571428571427,det_04_added_value; det_09_safety; det_10_cost_efficiency
EFA6,Influencer,8,5,0,0,0,0,
EFA6,Stubborn,8,3,0,0,0,0,
EFA6,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness
