left_id,right_id,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
EFA1,Activist,8,6,0,0,0,0,
EFA1,Careful,8,12,0,0,0,0,
EFA1,Early.Adopter,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_29_trends
EFA1,Fearful,8,9,0,0,0,0,
EFA1,Homo.Economicus,8,9,0,0,0,0,
EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
EFA1,Stubborn,8,3,0,0,0,0,
EFA1,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_22_peer_pressure; det_30_authority
EFA2,Activist,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_14_environmental_concerns
EFA2,Careful,8,12,2,25,16.666666666666668,11.11111111111111,det_06_climate_protection; det_14_environmental_concerns
EFA2,Early.Adopter,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_14_environmental_concerns
EFA2,Fearful,8,9,0,0,0,0,
EFA2,Homo.Economicus,8,9,1,12.5,11.11111111111111,6.25,det_04_added_value
EFA2,Influencer,8,5,0,0,0,0,
EFA2,Stubborn,8,3,0,0,0,0,
EFA2,Uninterested,8,6,0,0,0,0,
EFA3,Activist,11,6,5,45.45454545454545,83.33333333333333,41.666666666666664,det_08_trust; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence
EFA3,Careful,11,12,7,63.63636363636363,58.333333333333336,43.75,det_03_risk_profile; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence
EFA3,Early.Adopter,11,6,3,27.272727272727273,50,21.428571428571427,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
EFA3,Fearful,11,9,6,54.54545454545455,66.66666666666667,42.857142857142854,det_03_risk_profile; det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit
EFA3,Homo.Economicus,11,9,6,54.54545454545455,66.66666666666667,42.857142857142854,det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
EFA3,Influencer,11,5,1,9.090909090909092,20,6.666666666666667,det_11_knowledge
EFA3,Stubborn,11,3,3,27.272727272727273,100,27.272727272727273,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
EFA3,Uninterested,11,6,2,18.181818181818183,33.333333333333336,13.333333333333334,det_07_legal; det_13_technical_fit
EFA4,Activist,15,6,1,6.666666666666667,16.666666666666668,5,det_13_technical_fit
EFA4,Careful,15,12,3,20,25,12.5,det_02_credit_score; det_10_cost_efficiency; det_11_knowledge
EFA4,Early.Adopter,15,6,3,20,50,16.666666666666668,det_11_knowledge; det_26_novelty; det_29_trends
EFA4,Fearful,15,9,5,33.333333333333336,55.55555555555556,26.31578947368421,det_02_credit_score; det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit
EFA4,Homo.Economicus,15,9,4,26.666666666666668,44.44444444444444,20,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit
EFA4,Influencer,15,5,5,33.333333333333336,100,33.333333333333336,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
EFA4,Stubborn,15,3,1,6.666666666666667,33.333333333333336,5.882352941176471,det_11_knowledge
EFA4,Uninterested,15,6,4,26.666666666666668,66.66666666666667,23.529411764705884,det_07_legal; det_13_technical_fit; det_22_peer_pressure; det_30_authority
EFA5,Activist,14,6,4,28.571428571428573,66.66666666666667,25,det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence
EFA5,Careful,14,12,8,57.142857142857146,66.66666666666667,44.44444444444444,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_12_own_competence; det_16_commitment; det_17_adherence; det_19_wellbeing
EFA5,Early.Adopter,14,6,2,14.285714285714286,33.333333333333336,11.11111111111111,det_15_self_satisfaction; det_17_adherence
EFA5,Fearful,14,9,6,42.857142857142854,66.66666666666667,35.294117647058826,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_13_technical_fit; det_19_wellbeing
EFA5,Homo.Economicus,14,9,5,35.714285714285715,55.55555555555556,27.77777777777778,det_01_profits; det_09_safety; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction
EFA5,Influencer,14,5,0,0,0,0,
EFA5,Stubborn,14,3,2,14.285714285714286,66.66666666666667,13.333333333333334,det_15_self_satisfaction; det_17_adherence
EFA5,Uninterested,14,6,3,21.428571428571427,50,17.647058823529413,det_13_technical_fit; det_19_wellbeing; det_20_coziness
EFA6,Activist,8,6,2,25,33.333333333333336,16.666666666666668,det_13_technical_fit; det_15_self_satisfaction
EFA6,Careful,8,12,3,37.5,25,17.647058823529413,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency
EFA6,Early.Adopter,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_15_self_satisfaction
EFA6,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit
EFA6,Homo.Economicus,8,9,4,50,44.44444444444444,30.76923076923077,det_01_profits; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction
EFA6,Influencer,8,5,0,0,0,0,
EFA6,Stubborn,8,3,1,12.5,33.333333333333336,10,det_15_self_satisfaction
EFA6,Uninterested,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_13_technical_fit
