dataset_source,det_col,n_rows,n_missing,prop_missing,n_out_of_range
diego,det_01_profits,1899,0,0,0
diego,det_02_credit_score,1899,0,0,0
diego,det_03_risk_profile,1899,0,0,0
diego,det_04_added_value,1899,0,0,0
diego,det_05_frugality,1899,0,0,0
diego,det_06_climate_protection,1899,0,0,0
diego,det_07_legal,1899,0,0,0
diego,det_08_trust,1899,0,0,0
diego,det_09_safety,1899,0,0,0
diego,det_10_cost_efficiency,1899,0,0,0
diego,det_11_knowledge,1899,0,0,0
diego,det_12_own_competence,1899,0,0,0
diego,det_13_technical_fit,1899,0,0,0
diego,det_14_environmental_concerns,1899,0,0,0
diego,det_15_self_satisfaction,1899,0,0,0
diego,det_16_commitment,1899,0,0,0
diego,det_17_adherence,1899,0,0,0
diego,det_18_autonomy,1899,0,0,0
diego,det_19_wellbeing,1899,0,0,0
diego,det_20_coziness,1899,0,0,0
diego,det_21_rights_and_duties,1899,0,0,0
diego,det_22_peer_pressure,1899,0,0,0
diego,det_23_support,1899,0,0,0
diego,det_24_socialising,1899,0,0,0
diego,det_25_agreement,1899,0,0,0
diego,det_26_novelty,1899,0,0,0
diego,det_27_fun,1899,0,0,0
diego,det_28_recognition,1899,0,0,0
diego,det_29_trends,1899,0,0,0
diego,det_30_authority,1899,0,0,0
diego,det_31_approval,1899,0,0,0
diego,det_32_own_significance,1899,0,0,0
rv,det_01_profits,1229,323,0.2628152969894223,0
rv,det_02_credit_score,1229,337,0.274206672091131,0
rv,det_03_risk_profile,1229,334,0.27176566314076483,0
rv,det_04_added_value,1229,342,0.27827502034174123,0
rv,det_05_frugality,1229,340,0.2766476810414972,0
rv,det_06_climate_protection,1229,297,0.24165988608624897,0
rv,det_07_legal,1229,328,0.26688364524003255,0
rv,det_08_trust,1229,314,0.2554922701383238,0
rv,det_09_safety,1229,327,0.2660699755899105,0
rv,det_10_cost_efficiency,1229,312,0.25386493083807976,0
rv,det_11_knowledge,1229,298,0.24247355573637103,0
rv,det_12_own_competence,1229,348,0.28315703824247357,0
rv,det_13_technical_fit,1229,309,0.25142392188771356,0
rv,det_14_environmental_concerns,1229,300,0.24410089503661514,0
rv,det_15_self_satisfaction,1229,309,0.25142392188771356,0
rv,det_16_commitment,1229,317,0.25793327908869,0
rv,det_17_adherence,1229,330,0.26851098454027666,0
rv,det_18_autonomy,1229,328,0.26688364524003255,0
rv,det_19_wellbeing,1229,308,0.25061025223759154,0
rv,det_20_coziness,1229,325,0.2644426362896664,0
rv,det_21_rights_and_duties,1229,318,0.25874694873881204,0
rv,det_22_peer_pressure,1229,315,0.2563059397884459,0
rv,det_23_support,1229,345,0.2807160292921074,0
rv,det_24_socialising,1229,330,0.26851098454027666,0
rv,det_25_agreement,1229,325,0.2644426362896664,0
rv,det_26_novelty,1229,331,0.2693246541903987,0
rv,det_27_fun,1229,341,0.2774613506916192,0
rv,det_28_recognition,1229,311,0.2530512611879577,0
rv,det_29_trends,1229,321,0.2611879576891782,0
rv,det_30_authority,1229,342,0.27827502034174123,0
rv,det_31_approval,1229,309,0.25142392188771356,0
rv,det_32_own_significance,1229,323,0.2628152969894223,0
why,det_01_profits,1628,50,0.030712530712530713,0
why,det_02_credit_score,1628,48,0.029484029484029485,0
why,det_03_risk_profile,1628,50,0.030712530712530713,0
why,det_04_added_value,1628,66,0.04054054054054054,0
why,det_05_frugality,1628,55,0.033783783783783786,0
why,det_06_climate_protection,1628,59,0.03624078624078624,0
why,det_07_legal,1628,52,0.03194103194103194,0
why,det_08_trust,1628,61,0.03746928746928747,0
why,det_09_safety,1628,52,0.03194103194103194,0
why,det_10_cost_efficiency,1628,47,0.02886977886977887,0
why,det_11_knowledge,1628,40,0.02457002457002457,0
why,det_12_own_competence,1628,53,0.032555282555282554,0
why,det_13_technical_fit,1628,50,0.030712530712530713,0
why,det_14_environmental_concerns,1628,49,0.030098280098280097,0
why,det_15_self_satisfaction,1628,42,0.025798525798525797,0
why,det_16_commitment,1628,51,0.03132678132678133,0
why,det_17_adherence,1628,43,0.026412776412776413,0
why,det_18_autonomy,1628,62,0.038083538083538086,0
why,det_19_wellbeing,1628,53,0.032555282555282554,0
why,det_20_coziness,1628,54,0.033169533169533166,0
why,det_21_rights_and_duties,1628,53,0.032555282555282554,0
why,det_22_peer_pressure,1628,51,0.03132678132678133,0
why,det_23_support,1628,48,0.029484029484029485,0
why,det_24_socialising,1628,48,0.029484029484029485,0
why,det_25_agreement,1628,50,0.030712530712530713,0
why,det_26_novelty,1628,52,0.03194103194103194,0
why,det_27_fun,1628,53,0.032555282555282554,0
why,det_28_recognition,1628,46,0.028255528255528257,0
why,det_29_trends,1628,46,0.028255528255528257,0
why,det_30_authority,1628,56,0.0343980343980344,0
why,det_31_approval,1628,52,0.03194103194103194,0
why,det_32_own_significance,1628,55,0.033783783783783786,0
