dataset_source,det_col,n_rows,n_imputed_50,prop_rows_imputed_50
diego,det_01_profits,1899,0,0
diego,det_02_credit_score,1899,0,0
diego,det_03_risk_profile,1899,0,0
diego,det_04_added_value,1899,0,0
diego,det_05_frugality,1899,0,0
diego,det_06_climate_protection,1899,0,0
diego,det_07_legal,1899,0,0
diego,det_08_trust,1899,0,0
diego,det_09_safety,1899,0,0
diego,det_10_cost_efficiency,1899,0,0
diego,det_11_knowledge,1899,0,0
diego,det_12_own_competence,1899,0,0
diego,det_13_technical_fit,1899,0,0
diego,det_14_environmental_concerns,1899,0,0
diego,det_15_self_satisfaction,1899,0,0
diego,det_16_commitment,1899,0,0
diego,det_17_adherence,1899,0,0
diego,det_18_autonomy,1899,0,0
diego,det_19_wellbeing,1899,0,0
diego,det_20_coziness,1899,0,0
diego,det_21_rights_and_duties,1899,0,0
diego,det_22_peer_pressure,1899,0,0
diego,det_23_support,1899,0,0
diego,det_24_socialising,1899,0,0
diego,det_25_agreement,1899,0,0
diego,det_26_novelty,1899,0,0
diego,det_27_fun,1899,0,0
diego,det_28_recognition,1899,0,0
diego,det_29_trends,1899,0,0
diego,det_30_authority,1899,0,0
diego,det_31_approval,1899,0,0
diego,det_32_own_significance,1899,0,0
rv,det_01_profits,1229,24,0.01952807160292921
rv,det_02_credit_score,1229,27,0.021969080553295363
rv,det_03_risk_profile,1229,32,0.026037428803905614
rv,det_04_added_value,1229,39,0.03173311635475997
rv,det_05_frugality,1229,34,0.027664768104149716
rv,det_06_climate_protection,1229,16,0.013018714401952807
rv,det_07_legal,1229,27,0.021969080553295363
rv,det_08_trust,1229,22,0.01790073230268511
rv,det_09_safety,1229,24,0.01952807160292921
rv,det_10_cost_efficiency,1229,15,0.012205044751830757
rv,det_11_knowledge,1229,13,0.010577705451586655
rv,det_12_own_competence,1229,43,0.03498779495524817
rv,det_13_technical_fit,1229,15,0.012205044751830757
rv,det_14_environmental_concerns,1229,17,0.013832384052074858
rv,det_15_self_satisfaction,1229,13,0.010577705451586655
rv,det_16_commitment,1229,24,0.01952807160292921
rv,det_17_adherence,1229,28,0.022782750203417412
rv,det_18_autonomy,1229,30,0.024410089503661515
rv,det_19_wellbeing,1229,13,0.010577705451586655
rv,det_20_coziness,1229,27,0.021969080553295363
rv,det_21_rights_and_duties,1229,25,0.02034174125305126
rv,det_22_peer_pressure,1229,19,0.015459723352318959
rv,det_23_support,1229,42,0.03417412530512612
rv,det_24_socialising,1229,33,0.026851098454027666
rv,det_25_agreement,1229,28,0.022782750203417412
rv,det_26_novelty,1229,38,0.030919446704637917
rv,det_27_fun,1229,42,0.03417412530512612
rv,det_28_recognition,1229,16,0.013018714401952807
rv,det_29_trends,1229,25,0.02034174125305126
rv,det_30_authority,1229,42,0.03417412530512612
rv,det_31_approval,1229,17,0.013832384052074858
rv,det_32_own_significance,1229,27,0.021969080553295363
why,det_01_profits,1628,15,0.009213759213759214
why,det_02_credit_score,1628,13,0.007985257985257985
why,det_03_risk_profile,1628,17,0.010442260442260442
why,det_04_added_value,1628,26,0.01597051597051597
why,det_05_frugality,1628,21,0.012899262899262898
why,det_06_climate_protection,1628,24,0.014742014742014743
why,det_07_legal,1628,17,0.010442260442260442
why,det_08_trust,1628,25,0.015356265356265357
why,det_09_safety,1628,16,0.009828009828009828
why,det_10_cost_efficiency,1628,13,0.007985257985257985
why,det_11_knowledge,1628,7,0.0042997542997543
why,det_12_own_competence,1628,19,0.01167076167076167
why,det_13_technical_fit,1628,13,0.007985257985257985
why,det_14_environmental_concerns,1628,16,0.009828009828009828
why,det_15_self_satisfaction,1628,6,0.0036855036855036856
why,det_16_commitment,1628,18,0.011056511056511056
why,det_17_adherence,1628,9,0.005528255528255528
why,det_18_autonomy,1628,33,0.02027027027027027
why,det_19_wellbeing,1628,20,0.012285012285012284
why,det_20_coziness,1628,21,0.012899262899262898
why,det_21_rights_and_duties,1628,18,0.011056511056511056
why,det_22_peer_pressure,1628,17,0.010442260442260442
why,det_23_support,1628,16,0.009828009828009828
why,det_24_socialising,1628,14,0.0085995085995086
why,det_25_agreement,1628,18,0.011056511056511056
why,det_26_novelty,1628,17,0.010442260442260442
why,det_27_fun,1628,19,0.01167076167076167
why,det_28_recognition,1628,9,0.005528255528255528
why,det_29_trends,1628,11,0.006756756756756757
why,det_30_authority,1628,20,0.012285012285012284
why,det_31_approval,1628,15,0.009213759213759214
why,det_32_own_significance,1628,18,0.011056511056511056
